type,kud_date,kud_text,kud_amount,toto_date,toto_text,toto_amount,label
onetomany,11.04.2019,MobilePay Caroline Boje,-100.0,11.04.2022,Gift Uffe,100.0,0
onetomany,11.04.2019,MobilePay Caroline Boje,-100.0,11.04.2022,Parcheggio,100.0,0
onetomany,11.04.2019,MobilePay Caroline Boje,-100.0,29.04.2019,Cleaning lady ,100.0,0
onetomany,11.04.2019,MobilePay Caroline Boje,-100.0,23.04.2019,Cleaning lady,100.0,0
onetomany,11.04.2019,MobilePay Caroline Boje,-100.0,14.04.2019,Cleaning lady ,100.0,0
onetomany,11.04.2019,MobilePay Caroline Boje,-100.0,11.04.2019,Cleaning lady,100.0,1
onetomany,29.04.2019,TIVOLI Salgskiosk 56626,-180.0,28.04.2019,Tivoli,180.0,1
onetomany,29.04.2019,TIVOLI Salgskiosk 56626,-180.0,01.04.2019,Green mob,180.0,0
onetomany,29.04.2019,TIVOLI Salgskiosk 56626,-180.0,12.04.2018,Fotex,180.0,0
onetomany,30.04.2019,MobilePay Pasfoto HBG1,-50.0,17.04.2023,Present for Heidi,50.0,0
onetomany,30.04.2019,MobilePay Pasfoto HBG1,-50.0,16.04.2023,Cancer research,50.0,0
onetomany,30.04.2019,MobilePay Pasfoto HBG1,-50.0,08.04.2022,Parcheggio ,50.0,0
onetomany,30.04.2019,MobilePay Pasfoto HBG1,-50.0,06.04.2022,Prking suitsupply,50.0,0
onetomany,30.04.2019,MobilePay Pasfoto HBG1,-50.0,30.04.2019,Visa russia photo,50.0,1
onetomany,30.04.2019,MobilePay Pasfoto HBG1,-50.0,30.04.2019,Visa photo russia,50.0,1
onetomany,30.04.2019,MobilePay Pasfoto HBG1,-50.0,03.04.2018,Mobile pay,50.0,0
onetomany,15.05.2019,DSB 858 Cph RKA 27532,-200.0,14.05.2019,Top up rejsekort sandro,200.0,1
onetomany,15.05.2019,DSB 858 Cph RKA 27532,-200.0,09.05.2018,Mc donald,200.0,0
onetomany,04.06.2019,IZ BRUS APS KOBENHAVN N,-60.0,28.06.2019,Bank fees,60.0,0
onetomany,04.06.2019,IZ BRUS APS KOBENHAVN N,-60.0,25.06.2019,Green mob,60.0,0
onetomany,04.06.2019,IZ BRUS APS KOBENHAVN N,-60.0,04.06.2019,IZ *BRUS APS\ \KOBENHAVN N  \,60.0,1
onetomany,04.06.2019,IZ BRUS APS KOBENHAVN N,-60.0,20.06.2018,Agos,60.0,0
onetomany,06.06.2019,MOBILPERIODKORT TAASTRUP,-700.0,03.06.2019,Pendlekort ,700.0,1
onetomany,06.06.2019,MOBILPERIODKORT TAASTRUP,-700.0,02.06.2019,Julia wedding gift ,700.0,0
onetomany,06.06.2019,MOBILPERIODKORT TAASTRUP,-700.0,15.06.2018,Train pendlekort,700.0,0
onetomany,06.06.2019,MOBILPERIODKORT TAASTRUP,-700.0,04.06.2018,Ago vet,700.0,0
onetomany,13.06.2019,MOSMETRO RU APARTIZANS MOSCOW,-5.75,13.06.2019,MOSMETRO.RU ASMOLENSKA\ \MO...,5.75,1
onetomany,13.06.2019,MOSMETRO RU APARTIZANS MOSCOW,-5.75,13.06.2019,MOSMETRO.RU ASMOLENSKA\ \MO...,5.75,1
onetomany,13.06.2019,MOSMETRO RU APARTIZANS MOSCOW,-5.75,13.06.2019,MOSMETRO.RU APARTIZANS\ \MO...,5.75,1
onetomany,14.06.2019,Green Mobility A S Copenhagen,-188.0,14.06.2019,Green Mobility A/S\ \Copenh...,188.0,1
onetomany,14.06.2019,Green Mobility A S Copenhagen,-188.0,02.06.2019,Berthel cheesecake ,188.0,0
onetomany,17.06.2019,Kim Q Hair design 08221,-325.0,17.06.2019,Hair cut,325.0,1
onetomany,17.06.2019,Kim Q Hair design 08221,-325.0,23.06.2018,Hair cut,325.0,0
onetomany,25.01.2021,MobilePay Sune Enevoldsen,-100.0,14.01.2022,Gift Sune ,100.0,1
onetomany,25.01.2021,MobilePay Sune Enevoldsen,-100.0,25.01.2021,Regalo Tiago,100.0,0
onetomany,25.01.2021,MobilePay Sune Enevoldsen,-100.0,25.01.2021,Regalo Anders,100.0,0
onetomany,25.01.2021,MobilePay Sune Enevoldsen,-100.0,24.01.2019,Parking Ørsted kick off,100.0,0
onetomany,30.01.2021,MobilePay Yuliya Nikiforova,-150.0,02.01.2023,Jaheb present,150.0,0
onetomany,30.01.2021,MobilePay Yuliya Nikiforova,-150.0,30.01.2021,Ostriche,150.0,1
onetomany,01.02.2021,Krogsgaard Finans,-2474.0,01.02.2023,Car Loan,2474.0,1
onetomany,01.02.2021,Krogsgaard Finans,-2474.0,01.02.2021,Finanziamento auto,2474.0,1
onetomany,15.02.2021,B Skat 2021 20 01,-1262.0,15.02.2021,B Skat 02.2021,1262.0,1
onetomany,15.02.2021,B Skat 2021 20 01,-1262.0,15.02.2021,B Skat 01.2021,1262.0,1
onetomany,16.04.2023,MobilePay Landsindsamling Solrød,-50.0,17.04.2023,Present for Heidi,50.0,0
onetomany,16.04.2023,MobilePay Landsindsamling Solrød,-50.0,16.04.2023,Cancer research,50.0,1
onetomany,16.04.2023,MobilePay Landsindsamling Solrød,-50.0,08.04.2022,Parcheggio ,50.0,0
onetomany,16.04.2023,MobilePay Landsindsamling Solrød,-50.0,06.04.2022,Prking suitsupply,50.0,0
onetomany,16.04.2023,MobilePay Landsindsamling Solrød,-50.0,30.04.2019,Visa russia photo,50.0,0
onetomany,16.04.2023,MobilePay Landsindsamling Solrød,-50.0,30.04.2019,Visa photo russia,50.0,0
onetomany,16.04.2023,MobilePay Landsindsamling Solrød,-50.0,03.04.2018,Mobile pay,50.0,0
onetomany,17.04.2023,MobilePay 6238AK,-50.0,17.04.2023,Present for Heidi,50.0,1
onetomany,17.04.2023,MobilePay 6238AK,-50.0,16.04.2023,Cancer research,50.0,0
onetomany,17.04.2023,MobilePay 6238AK,-50.0,08.04.2022,Parcheggio ,50.0,0
onetomany,17.04.2023,MobilePay 6238AK,-50.0,06.04.2022,Prking suitsupply,50.0,0
onetomany,17.04.2023,MobilePay 6238AK,-50.0,30.04.2019,Visa russia photo,50.0,0
onetomany,17.04.2023,MobilePay 6238AK,-50.0,30.04.2019,Visa photo russia,50.0,0
onetomany,17.04.2023,MobilePay 6238AK,-50.0,03.04.2018,Mobile pay,50.0,0
onetomany,24.04.2023,Fitness Vitality 36463,-150.0,24.04.2023,Massage,150.0,1
onetomany,24.04.2023,Fitness Vitality 36463,-150.0,14.04.2023,Massage,150.0,0
onetomany,01.05.2023,Krogsgaard Finans,-2474.0,01.05.2023,Mazda loan,2474.0,1
onetomany,01.05.2023,Krogsgaard Finans,-2474.0,03.05.2021,Car loan,2474.0,0
onetomany,03.05.2023,P huset Gl Mønt 65128,-92.0,03.05.2023,Parking ,92.0,1
onetomany,03.05.2023,P huset Gl Mønt 65128,-92.0,15.05.2019,Sweedish cafe sandro,92.0,0
onetomany,08.05.2023,Magasin Kgs Nytor 33474,-1299.0,07.05.2023,Apple Tv,1299.0,1
onetomany,08.05.2023,Magasin Kgs Nytor 33474,-1299.0,08.05.2022,Baby car chair,1299.0,0
onetomany,24.05.2023,McDonalds 107 Karlslunde,-270.0,21.05.2023,Mc Donald ,270.0,1
onetomany,24.05.2023,McDonalds 107 Karlslunde,-270.0,17.05.2018,Fotex,270.0,0
onetomany,24.05.2023,McDonalds 107 Karlslunde,-270.0,04.05.2018,Tivoli airplanes,270.0,0
onetomany,20.06.2023,Mairie De Saint Malo,-93.15,21.06.2023,Saint Malo,93.15,0
